"Date";"Tm";"at";"Opp";"Result";"Player";"Dist";"Good.";"Blk.";"Pressure";"Altitude";"Roof.type";"Field"
"2019-11-24";"CAR";"@";"NOR";"L 31-34";"Joey Slye";41;1;"no";"Regular Season";"no";"dome";"grass"
"2019-09-15";"PHI";"@";"ATL";"L 20-24";"Jake Elliott";41;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-21";"TAM";"";"HOU";"L 20-23";"Matt Gay";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-28";"BUF";"@";"DAL";"W 26-15";"Stephen Hauschka";41;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-10";"TAM";"";"ARI";"W 30-27";"Matt Gay";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"DEN";"@";"MIN";"L 23-27";"Brandon McManus";41;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-08";"KAN";"@";"NWE";"W 23-16";"Harrison Butker";41;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-24";"NOR";"";"CAR";"W 34-31";"Wil Lutz";41;1;"no";"Regular Season";"no";"dome";"grass"
"2019-09-15";"PIT";"";"SEA";"L 26-28";"Chris Boswell";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-14";"DET";"@";"GNB";"L 22-23";"Matt Prater";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"PIT";"";"BAL";"L 23-26";"Chris Boswell";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"TAM";"@";"SEA";"L 34-40";"Matt Gay";41;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-27";"CAR";"@";"SFO";"L 13-51";"Joey Slye";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-18";"KAN";"@";"LAC";"W 24-17";"Harrison Butker";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-28";"PIT";"";"MIA";"W 27-14";"Chris Boswell";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"GNB";"";"DEN";"W 27-16";"Mason Crosby";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"KAN";"";"HOU";"L 24-31";"Harrison Butker";41;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"HOU";"";"OAK";"W 27-24";"Ka'imi Fairbairn";40;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-24";"CLE";"";"MIA";"W 41-24";"Austin Seibert";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"CHI";"@";"DEN";"W 16-14";"Eddy Pineiro ";40;1;"no";"Regular Season";"yes";"open";"grass"
"2019-12-29";"DAL";"";"WAS";"W 47-16";"Kai Forbath";40;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-10";"NWE";"";"NYG";"W 35-14";"Mike Nugent";40;0;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"PHI";"@";"MIN";"L 20-38";"Jake Elliott";40;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-08";"LAC";"";"IND";"W 30-24";"Ty Long";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"LAC";"";"GNB";"W 26-11";"Michael Badgley";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"DAL";"@";"NYJ";"L 22-24";"Brett Maher";40;0;"no";"Regular Season";"no";"open";"turf"
"2019-09-29";"NOR";"";"DAL";"W 12-10";"Wil Lutz";40;1;"no";"Regular Season";"no";"dome";"grass"
"2019-11-18";"LAC";"";"KAN";"L 17-24";"Michael Badgley";40;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"DEN";"@";"LAC";"W 20-13";"Brandon McManus";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"JAX";"@";"HOU";"L 12-13";"Josh Lambo";40;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-24";"MIN";"";"WAS";"W 19-9";"Dan Bailey";40;1;"no";"Regular Season";"no";"dome";"turf"
"2020-01-04";"BUF";"@";"HOU";"L 19-22";"Stephen Hauschka";40;1;"no";"Playoffs";"no";"dome";"turf"
"2019-12-08";"LAC";"@";"JAX";"W 45-10";"Michael Badgley";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-20";"LAR";"@";"ATL";"W 37-10";"Greg Zuerlein";40;0;"no";"Regular Season";"no";"dome";"turf"
"2019-11-07";"OAK";"";"LAC";"W 26-24";"Daniel Carlson";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"SEA";"";"TAM";"W 40-34";"Jason Myers";40;0;"no";"Regular Season";"no";"open";"turf"
"2019-12-15";"NWE";"@";"CIN";"W 34-13";"Nick Folk";40;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-15";"DET";"";"LAC";"W 13-10";"Matt Prater";40;0;"no";"Regular Season";"no";"dome";"turf"
"2019-12-29";"GNB";"@";"DET";"W 23-20";"Mason Crosby";40;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-19";"JAX";"";"TEN";"W 20-7";"Josh Lambo";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"CIN";"@";"OAK";"L 10-17";"Randy Bullock";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"BAL";"";"CIN";"W 23-17";"Justin Tucker";40;1;"no";"Regular Season";"no";"open";"grass"
"2020-01-04";"BUF";"@";"HOU";"L 19-22";"Stephen Hauschka";40;1;"no";"Playoffs";"no";"dome";"turf"
"2019-12-29";"KAN";"";"LAC";"W 31-21";"Harrison Butker";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"ATL";"";"TAM";"L 22-35";"Younghoe Koo";40;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-29";"JAX";"@";"DEN";"W 26-24";"Josh Lambo";40;1;"no";"Regular Season";"yes";"open";"grass"
"2019-09-12";"TAM";"@";"CAR";"W 20-14";"Matt Gay";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"NYJ";"@";"MIA";"L 18-26";"Sam Ficken";40;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-22";"JAX";"@";"ATL";"L 12-24";"Josh Lambo";40;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-29";"MIN";"";"CHI";"L 19-21";"Dan Bailey";39;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-15";"SFO";"@";"CIN";"W 41-17";"Robbie Gould";39;0;"no";"Regular Season";"no";"open";"turf"
"2019-09-08";"CIN";"@";"SEA";"L 20-21";"Randy Bullock";39;1;"no";"Regular Season";"no";"open";"turf"
"2020-01-11";"MIN";"@";"SFO";"L 10-27";"Dan Bailey";39;1;"no";"Playoffs";"no";"open";"grass"
"2019-10-13";"MIN";"";"PHI";"W 38-20";"Dan Bailey";39;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-15";"HOU";"";"JAX";"W 13-12";"Ka'imi Fairbairn";39;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-20";"BUF";"";"MIA";"W 31-21";"Stephen Hauschka";39;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-17";"NWE";"@";"PHI";"W 17-10";"Nick Folk";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-20";"WAS";"";"SFO";"L 0-9";"Dustin Hopkins ";39;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"CLE";"@";"DEN";"L 19-24";"Austin Seibert";39;1;"no";"Regular Season";"yes";"open";"grass"
"2019-11-11";"SFO";"";"SEA";"L 24-27";"Chase McLaughlin";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-10";"CIN";"";"BAL";"L 13-49";"Randy Bullock";39;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"ARI";"";"ATL";"W 34-33";"Zane Gonzalez";39;1;"no";"Regular Season";"no";"dome";"grass"
"2019-09-15";"LAC";"@";"DET";"L 10-13";"Ty Long";39;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-24";"WAS";"";"DET";"W 19-16";"Dustin Hopkins ";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"NYJ";"@";"CIN";"L 6-22";"Sam Ficken";39;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"MIA";"";"WAS";"L 16-17";"Jason Sanders";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"DET";"@";"WAS";"L 16-19";"Matt Prater";39;0;"no";"Regular Season";"no";"open";"grass"
"2019-11-10";"IND";"";"MIA";"L 12-16";"Adam Vinatieri";39;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-10";"KAN";"@";"TEN";"L 32-35";"Harrison Butker";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-05";"GNB";"@";"CHI";"W 10-3";"Mason Crosby";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"WAS";"@";"BUF";"L 9-24";"Dustin Hopkins ";39;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-17";"KAN";"@";"DEN";"W 30-6";"Harrison Butker";39;1;"no";"Regular Season";"yes";"open";"grass"
"2019-11-03";"BAL";"";"NWE";"W 37-20";"Justin Tucker";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"PIT";"";"CLE";"W 20-13";"Chris Boswell";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"NWE";"";"PIT";"W 33-3";"Stephen Gostkowski";39;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-29";"OAK";"@";"DEN";"L 15-16";"Daniel Carlson";39;0;"no";"Regular Season";"yes";"open";"grass"
"2019-12-08";"SEA";"@";"LAR";"L 12-28";"Jason Myers";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-20";"NOR";"@";"CHI";"W 36-25";"Wil Lutz";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"BUF";"";"DEN";"W 20-3";"Stephen Hauschka";39;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-22";"BAL";"@";"KAN";"L 28-33";"Justin Tucker";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-09";"DEN";"@";"OAK";"L 16-24";"Brandon McManus";39;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"LAC";"@";"DET";"L 10-13";"Ty Long";39;0;"no";"Regular Season";"no";"dome";"turf"
"2019-09-29";"CHI";"";"MIN";"W 16-6";"Eddy Pineiro ";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"LAC";"";"PIT";"L 17-24";"Chase McLaughlin";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"ATL";"@";"CAR";"W 29-3";"Younghoe Koo";38;0;"no";"Regular Season";"no";"open";"grass"
"2020-01-05";"PHI";"";"SEA";"L 9-17";"Jake Elliott";38;1;"no";"Playoffs";"no";"open";"grass"
"2019-10-06";"JAX";"@";"CAR";"L 27-34";"Josh Lambo";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"SEA";"@";"CLE";"W 32-28";"Jason Myers";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"GNB";"@";"DAL";"W 34-24";"Mason Crosby";38;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-29";"MIN";"";"CHI";"L 19-21";"Dan Bailey";38;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-15";"SFO";"@";"CIN";"W 41-17";"Robbie Gould";38;1;"no";"Regular Season";"no";"open";"turf"
"2020-01-04";"BUF";"@";"HOU";"L 19-22";"Stephen Hauschka";38;1;"no";"Playoffs";"no";"dome";"turf"
"2020-02-02";"SFO";"@";"KAN";"L 20-31";"Robbie Gould";38;1;"no";"Playoffs";"no";"open";"grass"
"2019-11-17";"LAR";"";"CHI";"W 17-7";"Greg Zuerlein";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"CLE";"@";"NWE";"L 13-27";"Austin Seibert";38;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-17";"ATL";"@";"CAR";"W 29-3";"Younghoe Koo";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"MIN";"@";"LAC";"W 39-10";"Dan Bailey";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-23";"CHI";"@";"WAS";"W 31-15";"Eddy Pineiro ";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"PHI";"";"CHI";"W 22-14";"Jake Elliott";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-20";"CIN";"";"JAX";"L 17-27";"Randy Bullock";38;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"NYJ";"";"DAL";"W 24-22";"Sam Ficken";38;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-24";"ATL";"";"TAM";"L 22-35";"Younghoe Koo";38;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-05";"CHI";"";"GNB";"L 3-10";"Eddy Pineiro ";38;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-20";"PHI";"@";"DAL";"L 10-37";"Jake Elliott";38;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-08";"NYJ";"";"MIA";"W 22-21";"Sam Ficken";37;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-01";"PHI";"@";"MIA";"L 31-37";"Jake Elliott";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"NWE";"";"NYJ";"W 30-14";"Stephen Gostkowski";37;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-08";"LAR";"";"SEA";"W 28-12";"Greg Zuerlein";37;0;"yes";"Regular Season";"no";"open";"grass"
"2019-12-29";"NYG";"";"PHI";"L 17-34";"Aldrick Rosas";37;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-22";"MIA";"";"CIN";"W 38-35";"Jason Sanders";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-21";"HOU";"@";"TAM";"W 23-20";"Ka'imi Fairbairn";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-10";"ARI";"@";"TAM";"L 27-30";"Zane Gonzalez";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-20";"NYG";"";"ARI";"L 21-27";"Aldrick Rosas";37;0;"no";"Regular Season";"no";"open";"turf"
"2019-09-15";"CIN";"";"SFO";"L 17-41";"Randy Bullock";37;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-10";"ATL";"@";"NOR";"W 26-9";"Younghoe Koo";37;1;"no";"Regular Season";"no";"dome";"grass"
"2019-09-08";"JAX";"";"KAN";"L 26-40";"Josh Lambo";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"HOU";"";"CAR";"L 10-16";"Ka'imi Fairbairn";37;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-06";"NWE";"@";"WAS";"W 33-7";"Mike Nugent";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"MIN";"";"CHI";"L 19-21";"Dan Bailey";37;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-08";"ATL";"";"CAR";"W 40-20";"Younghoe Koo";37;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-22";"LAR";"@";"CLE";"W 20-13";"Greg Zuerlein";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"WAS";"";"DET";"W 19-16";"Dustin Hopkins ";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"PHI";"@";"BUF";"W 31-13";"Jake Elliott";37;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"JAX";"@";"CIN";"W 27-17";"Josh Lambo";37;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-01";"TAM";"@";"JAX";"W 28-11";"Matt Gay";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-22";"NYJ";"";"PIT";"W 16-10";"Sam Ficken";37;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-03";"SEA";"";"TAM";"W 40-34";"Jason Myers";37;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-27";"ATL";"";"SEA";"L 20-27";"Matt Bryant";37;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-12";"CAR";"";"TAM";"L 14-20";"Joey Slye";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"TEN";"@";"CLE";"W 43-13";"Cairo Santos";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"ARI";"@";"CIN";"W 26-23";"Zane Gonzalez";37;0;"no";"Regular Season";"no";"open";"turf"
"2019-12-08";"PIT";"@";"ARI";"W 23-17";"Chris Boswell";37;1;"no";"Regular Season";"no";"dome";"grass"
"2019-12-08";"MIA";"@";"NYJ";"L 21-22";"Jason Sanders";37;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-14";"GNB";"";"DET";"W 23-22";"Mason Crosby";37;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-03";"LAR";"@";"SEA";"L 29-30";"Greg Zuerlein";36;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-10";"ATL";"@";"NOR";"W 26-9";"Younghoe Koo";36;1;"no";"Regular Season";"no";"dome";"grass"
"2019-12-08";"DEN";"@";"HOU";"W 38-24";"Brandon McManus";36;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-22";"PHI";"";"DAL";"W 17-9";"Jake Elliott";36;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-02";"SEA";"";"MIN";"W 37-30";"Jason Myers";36;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-21";"NWE";"";"BUF";"W 24-17";"Nick Folk";36;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-05";"CHI";"";"DAL";"W 31-24";"Eddy Pineiro ";36;1;"no";"Regular Season";"no";"open";"grass"
"2020-01-04";"NWE";"";"TEN";"L 13-20";"Nick Folk";36;1;"no";"Playoffs";"no";"open";"turf"
"2019-09-22";"NYG";"@";"TAM";"W 32-31";"Aldrick Rosas";36;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"CAR";"@";"ARI";"W 38-20";"Joey Slye";36;1;"no";"Regular Season";"no";"dome";"grass"
"2019-10-06";"TEN";"";"BUF";"L 7-14";"Cairo Santos";36;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"BAL";"@";"BUF";"W 24-17";"Justin Tucker";36;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-06";"DAL";"";"GNB";"L 24-34";"Brett Maher";36;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-21";"HOU";"";"IND";"W 20-17";"Ka'imi Fairbairn";36;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-15";"BUF";"@";"PIT";"W 17-10";"Stephen Hauschka";36;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"KAN";"@";"DET";"W 34-30";"Harrison Butker";36;0;"no";"Regular Season";"no";"dome";"turf"
"2019-10-31";"ARI";"";"SFO";"L 25-28";"Zane Gonzalez";36;1;"no";"Regular Season";"no";"dome";"grass"
"2019-10-06";"KAN";"";"IND";"L 13-19";"Harrison Butker";36;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"WAS";"@";"CAR";"W 29-21";"Dustin Hopkins ";36;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"MIA";"@";"CLE";"L 24-41";"Jason Sanders";36;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-21";"IND";"@";"HOU";"L 17-20";"Adam Vinatieri";36;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-08";"SFO";"@";"TAM";"W 31-17";"Robbie Gould";36;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"BUF";"";"BAL";"L 17-24";"Stephen Hauschka";36;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-22";"KAN";"";"BAL";"W 33-28";"Harrison Butker";36;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-04";"DAL";"@";"NYG";"W 37-18";"Brett Maher";35;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"SEA";"";"BAL";"L 16-30";"Jason Myers";35;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-23";"WAS";"";"CHI";"L 15-31";"Dustin Hopkins ";35;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"NWE";"";"PIT";"W 33-3";"Stephen Gostkowski";35;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-08";"KAN";"@";"JAX";"W 40-26";"Harrison Butker";35;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-10";"NYJ";"";"NYG";"W 34-27";"Sam Ficken";35;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-27";"GNB";"@";"KAN";"W 31-24";"Mason Crosby";35;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"ATL";"";"CAR";"W 40-20";"Younghoe Koo";35;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-21";"BUF";"@";"NWE";"L 17-24";"Stephen Hauschka";35;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-06";"ATL";"@";"HOU";"L 32-53";"Matt Bryant";35;1;"no";"Regular Season";"no";"dome";"turf"
"2020-01-11";"SFO";"";"MIN";"W 27-10";"Robbie Gould";35;1;"no";"Playoffs";"no";"open";"grass"
"2019-09-22";"CLE";"";"LAR";"L 13-20";"Austin Seibert";35;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"CAR";"";"TEN";"W 30-20";"Joey Slye";35;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"JAX";"@";"CAR";"L 27-34";"Josh Lambo";35;1;"no";"Regular Season";"no";"open";"grass"
"2020-01-05";"SEA";"@";"PHI";"W 17-9";"Jason Myers";35;0;"yes";"Playoffs";"no";"open";"grass"
"2019-10-20";"ARI";"@";"NYG";"W 27-21";"Zane Gonzalez";35;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-24";"NYJ";"";"OAK";"W 34-3";"Sam Ficken";35;1;"no";"Regular Season";"no";"open";"turf"
"2019-11-17";"NWE";"@";"PHI";"W 17-10";"Nick Folk";35;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-28";"DAL";"";"BUF";"L 15-26";"Brett Maher";35;0;"yes";"Regular Season";"no";"dome";"turf"
"2019-12-22";"IND";"";"CAR";"W 38-6";"Chase McLaughlin";35;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-21";"HOU";"";"IND";"W 20-17";"Ka'imi Fairbairn";35;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-22";"ATL";"@";"IND";"L 24-27";"Matt Bryant";34;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-08";"ARI";"";"DET";"T 27-27";"Zane Gonzalez";34;1;"no";"Regular Season";"no";"dome";"grass"
"2019-12-01";"OAK";"@";"KAN";"L 9-40";"Daniel Carlson";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"NYJ";"@";"BUF";"W 13-6";"Sam Ficken";34;0;"no";"Regular Season";"no";"open";"turf"
"2019-11-25";"BAL";"@";"LAR";"W 45-6";"Justin Tucker";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"IND";"";"JAX";"W 33-13";"Adam Vinatieri";34;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-29";"JAX";"@";"DEN";"W 26-24";"Josh Lambo";34;1;"no";"Regular Season";"yes";"open";"grass"
"2019-12-08";"MIA";"@";"NYJ";"L 21-22";"Jason Sanders";34;0;"no";"Regular Season";"no";"open";"turf"
"2019-12-08";"CIN";"@";"CLE";"L 19-27";"Randy Bullock";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"TAM";"";"ATL";"L 22-28";"Matt Gay";34;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"NOR";"@";"LAR";"L 9-27";"Wil Lutz";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"BUF";"";"CIN";"W 21-17";"Stephen Hauschka";34;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-22";"ARI";"";"CAR";"L 20-38";"Zane Gonzalez";34;1;"no";"Regular Season";"no";"dome";"grass"
"2019-12-15";"OAK";"";"JAX";"L 16-20";"Daniel Carlson";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"BAL";"";"HOU";"W 41-7";"Justin Tucker";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"BUF";"@";"MIA";"W 37-20";"Stephen Hauschka";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-09";"NYG";"@";"PHI";"L 17-23";"Aldrick Rosas";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-22";"DEN";"";"DET";"W 27-17";"Brandon McManus";34;1;"no";"Regular Season";"yes";"open";"grass"
"2019-12-08";"SEA";"@";"LAR";"L 12-28";"Jason Myers";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"CHI";"@";"MIN";"W 21-19";"Eddy Pineiro ";34;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-22";"LAC";"";"HOU";"L 20-27";"Ty Long";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-15";"CIN";"";"NWE";"L 13-34";"Randy Bullock";34;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-20";"SEA";"";"BAL";"L 16-30";"Jason Myers";34;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-29";"MIN";"";"CHI";"L 19-21";"Dan Bailey";34;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-27";"NWE";"";"CLE";"W 27-13";"Mike Nugent";34;0;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"SFO";"@";"LAR";"W 20-7";"Robbie Gould";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"DAL";"@";"DET";"W 35-27";"Brett Maher";34;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-03";"LAC";"";"GNB";"W 26-11";"Michael Badgley";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-09";"PHI";"";"NYG";"W 23-17";"Jake Elliott";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-10";"BUF";"@";"CLE";"L 16-19";"Stephen Hauschka";34;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"TAM";"";"NYG";"L 31-32";"Matt Gay";34;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"BAL";"@";"MIA";"W 59-10";"Justin Tucker";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"PHI";"@";"ATL";"L 20-24";"Jake Elliott";34;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-21";"NWE";"@";"NYJ";"W 33-0";"Mike Nugent";34;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-01";"CLE";"@";"PIT";"L 13-20";"Austin Seibert";34;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-24";"NOR";"";"CAR";"W 34-31";"Wil Lutz";33;1;"no";"Regular Season";"no";"dome";"grass"
"2019-12-21";"SFO";"";"LAR";"W 34-31";"Robbie Gould";33;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"DEN";"";"JAX";"L 24-26";"Brandon McManus";33;1;"no";"Regular Season";"yes";"open";"grass"
"2019-09-22";"MIA";"@";"DAL";"L 6-31";"Jason Sanders";33;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-29";"ATL";"@";"TAM";"W 28-22";"Younghoe Koo";33;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"ARI";"";"SEA";"L 10-27";"Zane Gonzalez";33;1;"no";"Regular Season";"no";"dome";"grass"
"2019-10-06";"TEN";"";"BUF";"L 7-14";"Cairo Santos";33;0;"yes";"Regular Season";"no";"open";"grass"
"2019-12-29";"OAK";"@";"DEN";"L 15-16";"Daniel Carlson";33;1;"no";"Regular Season";"yes";"open";"grass"
"2019-10-27";"HOU";"";"OAK";"W 27-24";"Ka'imi Fairbairn";33;1;"no";"Regular Season";"no";"dome";"turf"
