"Date";"Tm";"at";"Opp";"Result";"Player";"Dist";"Good.";"Blk.";"Pressure";"Altitude";"Roof.type";"Field"
"2019-12-08";"WAS";"@";"GNB";"L 15-20";"Dustin Hopkins ";52;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"CIN";"";"SFO";"L 17-41";"Randy Bullock";52;0;"no";"Regular Season";"no";"open";"turf"
"2019-12-21";"LAR";"@";"SFO";"L 31-34";"Greg Zuerlein";52;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"CHI";"@";"DEN";"W 16-14";"Eddy Pineiro ";52;1;"no";"Regular Season";"yes";"open";"grass"
"2019-09-08";"CAR";"";"LAR";"L 27-30";"Joey Slye";52;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"NOR";"@";"LAR";"L 9-27";"Wil Lutz";52;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"GNB";"@";"DET";"W 23-20";"Mason Crosby";51;0;"no";"Regular Season";"no";"dome";"turf"
"2019-12-22";"SEA";"";"ARI";"L 13-27";"Jason Myers";51;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-29";"NYJ";"@";"BUF";"W 13-6";"Sam Ficken";51;0;"no";"Regular Season";"no";"open";"turf"
"2020-01-12";"HOU";"@";"KAN";"L 31-51";"Ka'imi Fairbairn";51;0;"no";"Playoffs";"no";"open";"grass"
"2019-11-03";"PIT";"";"IND";"W 26-24";"Chris Boswell";51;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-17";"BUF";"@";"MIA";"W 37-20";"Stephen Hauschka";51;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"MIA";"";"PHI";"W 37-31";"Jason Sanders";51;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-14";"DET";"@";"GNB";"L 22-23";"Matt Prater";51;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-27";"IND";"";"DEN";"W 15-13";"Adam Vinatieri";51;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-21";"NWE";"";"BUF";"W 24-17";"Nick Folk";51;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-12";"CAR";"";"TAM";"L 14-20";"Joey Slye";51;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"OAK";"@";"MIN";"L 14-34";"Daniel Carlson";51;0;"no";"Regular Season";"no";"dome";"turf"
"2019-09-29";"LAC";"@";"MIA";"W 30-10";"Ty Long";51;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"SFO";"@";"BAL";"L 17-20";"Robbie Gould";51;0;"yes";"Regular Season";"no";"open";"grass"
"2019-10-27";"ATL";"";"SEA";"L 20-27";"Matt Bryant";51;0;"no";"Regular Season";"no";"dome";"turf"
"2019-10-27";"TEN";"";"TAM";"W 27-23";"Cody Parkey";51;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"DEN";"";"OAK";"W 16-15";"Brandon McManus";51;1;"no";"Regular Season";"yes";"open";"grass"
"2019-09-15";"BAL";"";"ARI";"W 23-17";"Justin Tucker";51;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"ATL";"";"PHI";"W 24-20";"Matt Bryant";50;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-15";"DAL";"";"LAR";"W 44-21";"Kai Forbath";50;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-22";"CAR";"@";"IND";"L 6-38";"Joey Slye";50;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-27";"ARI";"@";"NOR";"L 9-31";"Zane Gonzalez";50;1;"no";"Regular Season";"no";"dome";"grass"
"2019-10-20";"ATL";"";"LAR";"L 10-37";"Matt Bryant";50;0;"no";"Regular Season";"no";"dome";"turf"
