"Rank","Player","Pos","Tm","G","FG"
189,"Delon Wright","SG","DAL",65,179
190,"Danny Green","SG","LAL",61,178
191,"George Hill","PG","MIL",52,178
192,"Enes Kanter","C","BOS",51,176
193,"Willie Cauley-Stein","C","TOT",54,175
194,"E'Twaun Moore","SG","NOP",51,174
195,"Nerlens Noel","C","OKC",55,174
196,"Isaiah Thomas","PG","WAS",40,174
197,"Zion Williamson","PF","NOP",19,172
198,"Avery Bradley","SG","LAL",49,170
199,"Shabazz Napier","PG","TOT",51,170
200,"Josh Okogie","SG","MIN",62,170
201,"Tony Snell","SF","DET",59,170
202,"Alex Len","C","TOT",49,168
203,"Taj Gibson","C","NYK",62,167
204,"Jordan Poole","SG","GSW",57,167
205,"Derrick Jones Jr.","SF","MIA",51,166
206,"Sviatoslav Mykhailiuk","SF","DET",56,166
207,"Eric Gordon","SG","HOU",34,162
208,"P.J. Tucker","PF","HOU",64,162
209,"Wesley Matthews","SG","MIL",62,159
210,"Gorgui Dieng","C","TOT",58,158
211,"D.J. Augustin","PG","ORL",49,156
212,"Jaxson Hayes","C","NOP",56,155
213,"Cory Joseph","PG","SAC",64,155
214,"Trey Lyles","PF","SAS",63,153
215,"Mason Plumlee","C","DEN",53,153
216,"Kris Dunn","PG","CHI",51,152
217,"Bismack Biyombo","C","CHO",53,151
218,"Luke Kennard","SG","DET",28,151
219,"Kelly Olynyk","C","MIA",59,151
220,"Jonathan Isaac","SF","ORL",32,149
221,"Jordan McRae","SG","TOT",37,149
222,"Gary Trent Jr.","SG","POR",53,149
223,"De'Anthony Melton","PG","MEM",52,148
224,"Dwight Powell","C","DAL",40,146
225,"Landry Shamet","SG","LAC",47,146
226,"Kevin Knox","SF","NYK",65,144
227,"Trevor Ariza","SF","TOT",53,142
228,"Maurice Harkless","SF","TOT",62,142
229,"Royce O'Neale","PF","UTA",64,141
230,"Michael Porter Jr.","PF","DEN",48,141
231,"Patrick Beverley","PG","LAC",48,139
232,"Rondae Hollis-Jefferson","SF","TOR",52,139
233,"Kyle Anderson","PF","MEM",59,138
234,"Ersan Ilyasova","PF","MIL",56,137
235,"Robin Lopez","C","MIL",60,137
236,"Rajon Rondo","PG","LAL",48,137
237,"Cameron Johnson","PF","PHO",49,136
238,"Emmanuel Mudiay","PG","UTA",48,136
239,"Brad Wanamaker","PG","BOS",63,136
240,"Jakob Poeltl","C","SAS",58,135
241,"Ky Bowman","PG","GSW",45,134
242,"Mo Bamba","C","ORL",60,132
243,"Frank Ntilikina","PG","NYK",57,131
244,"Moritz Wagner","C","WAS",37,131
245,"Mike Scott","PF","PHI",63,130
246,"James Ennis","SF","TOT",61,128
247,"Frank Kaminsky","C","PHO",32,127
248,"Omari Spellman","PF","GSW",49,127
249,"JaMychal Green","PF","LAC",55,125
250,"Justin Jackson","PF","DAL",58,124
251,"Draymond Green","PF","GSW",43,123
252,"Nicolo Melli","C","NOP",52,123
253,"Damian Jones","C","ATL",55,121
254,"Damyean Dotson","SG","NYK",48,120
255,"Georges Niang","PF","UTA",58,120
256,"Chris Boucher","PF","TOR",55,119
257,"Pat Connaughton","SG","MIL",61,119
258,"Harry Giles","PF","SAC",38,116
259,"Jeff Green","PF","TOT",40,116
260,"Meyers Leonard","C","MIA",49,116
261,"Lonnie Walker","SG","SAS",53,116
262,"Kyle Korver","SF","MIL",50,111
263,"Alex Caruso","PG","LAL",58,110
264,"Marvin Williams","PF","TOT",52,110
265,"Shake Milton","SG","PHI",32,108
266,"Vince Carter","SF","ATL",60,107
267,"Reggie Jackson","PG","TOT",23,107
268,"Marco Belinelli","SG","SAS",52,106
269,"Michael Carter-Williams","SG","ORL",42,105
270,"DeAndre' Bembry","SG","ATL",43,104
271,"Ian Mahinmi","C","WAS",38,104
272,"Tony Bradley","C","UTA",50,103
273,"Bruno Fernando","C","ATL",56,103
274,"James Johnson","PF","TOT",32,103
275,"Dewayne Dedmon","C","TOT",44,102
276,"Juan Hernangomez","PF","TOT",48,100
277,"Solomon Hill","SF","TOT",54,100
278,"Abdel Nader","SF","OKC",48,100
279,"Naz Reid","C","MIN",30,100
280,"Hamidou Diallo","SF","OKC",38,99
281,"Marc Gasol","C","TOR",36,99
282,"Frank Jackson","PG","NOP",51,99
283,"Denzel Valentine","SF","CHI",36,97
284,"Isaac Bonga","SF","WAS",58,96
285,"Torrey Craig","SF","DEN",50,96
286,"Boban Marjanovic","C","DAL",37,96
287,"Matisse Thybulle","SG","PHI",57,96
288,"John Henson","PF","TOT",40,95
289,"Daniel Gafford","C","CHI",43,94
290,"Thon Maker","C","DET",60,93
291,"Sekou Doumbouya","SF","DET",38,92
292,"Ryan Arcidiacono","PG","CHI",58,90
293,"Reggie Bullock","SG","NYK",29,90
294,"Keita Bates-Diop","SF","TOT",39,89
295,"Cheick Diallo","C","PHO",44,89
296,"Cody Martin","SF","CHO",48,89
297,"Darius Bazley","PF","OKC",53,88
298,"Blake Griffin","PF","DET",18,88
299,"Jahlil Okafor","C","NOP",28,88
300,"Treveon Graham","SG","TOT",55,87
301,"Rodney Hood","SF","POR",21,87
302,"Jordan McLaughlin","PG","MIN",30,87
303,"Dwayne Bacon","SG","CHO",39,85
304,"Jevon Carter","PG","PHO",50,82
305,"Luke Kornet","C","CHI",36,82
306,"Mario Hezonja","PF","POR",47,81
307,"Skal Labissiere","C","POR",33,81
308,"Jake Layman","PF","MIN",23,81
309,"Sterling Brown","SF","MIL",45,80
310,"Chandler Hutchison","SF","CHI",28,80
311,"Grant Williams","PF","BOS",62,80
312,"Grayson Allen","SG","MEM",30,79
313,"Raul Neto","PG","PHI",49,79
314,"Marvin Bagley III","PF","SAC",13,78
315,"Timothe Luwawu-Cabarrot","SG","BRK",39,78
316,"Nickeil Alexander-Walker","SG","NOP",41,77
317,"Shaquille Harrison","SF","CHI",43,77
318,"Wesley Iwundu","SF","ORL",45,77
319,"Quinn Cook","PG","LAL",38,76
320,"Brandon Goodwin","PG","ATL",34,76
321,"Patrick Patterson","PF","LAC",51,76
322,"Jerome Robinson","SG","TOT",55,75
323,"J.J. Barea","PG","DAL",26,74
324,"Wilson Chandler","SF","BRK",35,74
325,"Terrance Ferguson","SF","OKC",50,74
326,"Willy Hernangomez","C","CHO",31,74
327,"Alfonzo McKinnie","SF","CLE",40,73
328,"Elie Okobo","PG","PHO",54,72
329,"Dennis Smith Jr.","PG","NYK",34,72
330,"Kelan Martin","SF","MIN",31,71
331,"Josh Jackson","SG","MEM",18,68
332,"Yogi Ferrell","PG","SAC",44,67
333,"Patrick McCaw","SF","TOR",37,67
334,"Luguentz Dort","SG","OKC",29,65
335,"Tyler Johnson","SG","PHO",31,65
336,"Nassir Little","PF","POR",48,65
337,"Semi Ojeleye","PF","BOS",61,65
338,"Mike Muscala","C","OKC",41,64
339,"Allen Crabbe","SG","TOT",37,63
340,"Victor Oladipo","SG","IND",13,63
341,"Troy Daniels","SG","TOT",42,62
342,"Matthew Dellavedova","PG","CLE",57,62
343,"Otto Porter","SF","CHI",14,62
344,"Goga Bitadze","C","IND",49,61
345,"Wayne Ellington","SG","NYK",36,61
346,"Marko Guduric","SG","MEM",42,61
347,"Rodney McGruder","SG","LAC",50,61
348,"Rodions Kurucs","PF","BRK",39,60
349,"Trey Burke","PG","PHI",25,59
350,"Brandon Knight","PG","TOT",25,59
351,"Khem Birch","C","ORL",40,56
352,"Dante Exum","SG","TOT",35,56
353,"Anzejs Pasecniks","C","WAS",24,56
354,"Matt Thomas","SG","TOR",33,54
355,"Anthony Tolliver","PF","TOT",47,54
356,"Chris Clemons","SG","HOU",29,51
357,"Allonzo Trier","PG","NYK",24,51
358,"Džanan Musa","SF","BRK",35,50
359,"Noah Vonleh","C-PF","TOT",33,50
360,"Justise Winslow","SF","MIA",11,50
361,"Javonte Green","SF","BOS",44,49
362,"Kenrich Williams","PF","NOP",35,49
363,"Gary Payton II","PG","WAS",29,48
364,"JaKarr Sampson","SF","IND",26,48
365,"Edmond Sumner","PG","IND",25,47
366,"Jacob Evans","SG","TOT",29,45
367,"Theo Pinson","SG","BRK",33,45
368,"Isaiah Hartenstein","C","HOU",23,44
369,"Chris Silva","PF","MIA",41,43
370,"Robert Williams","C","BOS",23,42
371,"Dragan Bender","SF","TOT",16,41
372,"Ante Zizic","C","CLE",22,41
373,"Courtney Lee","SG","DAL",24,40
374,"D.J. Wilson","PF","MIL",31,40
375,"Deonte Burton","SG","OKC",34,39
376,"Gary Clark","PF","TOT",35,38
377,"Carsen Edwards","SG","BOS",35,37
378,"Ty Jerome","PG","PHO",28,37
379,"Caleb Martin","SF","CHO",18,37
380,"David Nwaba","SF","BRK",20,37
381,"Thabo Sefolosha","PF","HOU",41,37
382,"PJ Dozier","PG","DEN",21,36
383,"Jordan Bell","C-PF","TOT",29,35
384,"Kyle O'Quinn","C","PHI",26,35
385,"Cristiano Felicio","PF","CHI",22,34
386,"Tim Frazier","PG","DET",27,34
387,"Stephen Curry","PG","GSW",5,33
388,"Justin James","SG","SAC",34,33
389,"Jalen McDaniels","PF","CHO",16,33
390,"Bruno Caboclo","SF","TOT",27,32
391,"Chris Chiozza","PG","TOT",21,32
392,"T.J. Leaf","PF","IND",25,30
393,"Admiral Schofield","SF","WAS",27,30
394,"Kevon Looney","C","GSW",20,29
